"filename", "language", "Shell Script", "CSS", "JavaScript", "Elixir", "HEEx", "Ignore", "Markdown", "JSON", "XML", "HTML", "Database", "CSV", "Docker", "comment", "blank", "total"
"/Users/chris/playground/oas/oas-web-public/src/index.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 59
"/Users/chris/playground/oas/oas-web-public/src/reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/chris/playground/oas/oas-web-public/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/chris/playground/oas/oas-web/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"/Users/chris/playground/oas/oas-web/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 30190, 0, 0, 0, 0, 0, 0, 1, 30191
"/Users/chris/playground/oas/oas-web/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/chris/playground/oas/oas-web/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"/Users/chris/playground/oas/oas-web/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/chris/playground/oas/oas-web/src/Analysis/Analysis.js", "JavaScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 110
"/Users/chris/playground/oas/oas-web/src/App/App.css", "CSS", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/chris/playground/oas/oas-web/src/App/App.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 69
"/Users/chris/playground/oas/oas-web/src/App/App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/chris/playground/oas/oas-web/src/App/AppMenu.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 103
"/Users/chris/playground/oas/oas-web/src/App/Links.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 64
"/Users/chris/playground/oas/oas-web/src/App/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/chris/playground/oas/oas-web/src/Member/Member.js", "JavaScript", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 213
"/Users/chris/playground/oas/oas-web/src/Member/MemberDetails.js", "JavaScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 128
"/Users/chris/playground/oas/oas-web/src/Member/MemberMembershipPeriods.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/chris/playground/oas/oas-web/src/Member/MemberTokens.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/Users/chris/playground/oas/oas-web/src/Member/Members.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"/Users/chris/playground/oas/oas-web/src/Member/MembersDisplay.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"/Users/chris/playground/oas/oas-web/src/MembershipPeriod/MembershipPeriod.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 168
"/Users/chris/playground/oas/oas-web/src/MembershipPeriod/MembershipPeriodMembers.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/Users/chris/playground/oas/oas-web/src/MembershipPeriod/MembershipPeriods.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/chris/playground/oas/oas-web/src/MembershipPeriod/MembershipPeriodsDisplay.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"/Users/chris/playground/oas/oas-web/src/Money/Tokens.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 137
"/Users/chris/playground/oas/oas-web/src/Money/Transaction.js", "JavaScript", 0, 0, 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34, 367
"/Users/chris/playground/oas/oas-web/src/Money/TransactionMembershipPeriod.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 88
"/Users/chris/playground/oas/oas-web/src/Money/TransactionTags.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 71
"/Users/chris/playground/oas/oas-web/src/Money/TransactionToken.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 149
"/Users/chris/playground/oas/oas-web/src/Money/Transactions.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
"/Users/chris/playground/oas/oas-web/src/Money/TransferToken.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73
"/Users/chris/playground/oas/oas-web/src/MoneyImport/TransactionsImport.js", "JavaScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 139
"/Users/chris/playground/oas/oas-web/src/MoneyImport/TransactionsImportEditor.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 107
"/Users/chris/playground/oas/oas-web/src/MoneyImport/TransactionsImportRow.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 111
"/Users/chris/playground/oas/oas-web/src/Training/Training.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 168
"/Users/chris/playground/oas/oas-web/src/Training/TrainingAttendance.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 148
"/Users/chris/playground/oas/oas-web/src/Training/TrainingTags.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 98
"/Users/chris/playground/oas/oas-web/src/Training/TrainingWhere.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 77
"/Users/chris/playground/oas/oas-web/src/Training/TrainingWhereFilter.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 52
"/Users/chris/playground/oas/oas-web/src/Training/Trainings.js", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 155
"/Users/chris/playground/oas/oas-web/src/index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/chris/playground/oas/oas-web/src/index.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 151
"/Users/chris/playground/oas/oas-web/src/reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/chris/playground/oas/oas-web/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/chris/playground/oas/oas-web/src/utils/util.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/chris/playground/oas/priv/repo/migrations/.formatter.exs", "Elixir", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/chris/playground/oas/priv/repo/migrations/20221012185829_create_members_auth_tables.exs", "Elixir", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"/Users/chris/playground/oas/priv/repo/migrations/20221016131322_create_schema.exs", "Elixir", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 102
