Date : 2022-11-10 00:38:28
Directory : /Users/chris/playground/oas
Total : 166 files,  69282 codes, 607 comments, 1551 blanks, all 71440 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/chris/playground/oas/oas-web/package-lock.json                                          | JSON         |     30,190 |          0 |          1 |     30,191 |
| /Users/chris/playground/oas/oas-web/package.json                                               | JSON         |         52 |          0 |          1 |         53 |
| /Users/chris/playground/oas/oas-web/public/index.html                                          | HTML         |         20 |         23 |          1 |         44 |
| /Users/chris/playground/oas/oas-web/public/manifest.json                                       | JSON         |         25 |          0 |          1 |         26 |
| /Users/chris/playground/oas/oas-web/src/Analysis/Analysis.js                                   | JavaScript   |        100 |          0 |         10 |        110 |
| /Users/chris/playground/oas/oas-web/src/App/App.css                                            | CSS          |         39 |          0 |          8 |         47 |
| /Users/chris/playground/oas/oas-web/src/App/App.js                                             | JavaScript   |         62 |          1 |          6 |         69 |
| /Users/chris/playground/oas/oas-web/src/App/App.test.js                                        | JavaScript   |          7 |          0 |          2 |          9 |
| /Users/chris/playground/oas/oas-web/src/App/AppMenu.js                                         | JavaScript   |         97 |          0 |          6 |        103 |
| /Users/chris/playground/oas/oas-web/src/App/Links.js                                           | JavaScript   |         47 |          0 |         17 |         64 |
| /Users/chris/playground/oas/oas-web/src/App/logo.svg                                           | XML          |          1 |          0 |          0 |          1 |
| /Users/chris/playground/oas/oas-web/src/Member/Member.js                                       | JavaScript   |        198 |          0 |         15 |        213 |
| /Users/chris/playground/oas/oas-web/src/Member/MemberDetails.js                                | JavaScript   |        121 |          0 |          7 |        128 |
| /Users/chris/playground/oas/oas-web/src/Member/MemberMembershipPeriods.js                      | JavaScript   |         35 |          0 |          6 |         41 |
| /Users/chris/playground/oas/oas-web/src/Member/MemberTokens.js                                 | JavaScript   |         31 |          0 |          7 |         38 |
| /Users/chris/playground/oas/oas-web/src/Member/Members.js                                      | JavaScript   |         53 |          0 |          5 |         58 |
